Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.86981528840034E-06,-0.00584346398674138,0.0679155662674437,0,0,0,0.371371789410284,0.00128473132612596,3.87415140697897E-08,-3.09550968715548E-08,0.00122509138684317,2.09029846290064E-05,0.00157412644835601,0,0,0,0,0,0,package://DOBO1/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://DOBO1/meshes/base_link.STL,,part_1-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-5.90826828617037E-06,-0.0313731201677426,0.0912096004494049,0,0,0,0.508333519163472,0.00226604385146925,9.31154837866012E-08,-9.90819283181768E-08,0.00214621566314248,0.000490944542900621,0.00109648899799331,0,0,0,0,0,0,package://DOBO1/meshes/link_1.STL,1,1,1,1,0,0,0,0,0,0,package://DOBO1/meshes/link_1.STL,,Link (2)-2,Origin_joint_1,axis1 <part_1-2>,joint_1,revolute,0,-0.0025539,0.13584,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
link_2,2.2304250059894E-06,-0.0872175445395067,0.0132103669634602,0,0,0,0.391735277444753,0.00132426113834558,1.13717160193785E-07,8.56882534194646E-07,0.000717163553294586,-7.51006105022457E-05,0.00136387855748792,0,0,0,0,0,0,package://DOBO1/meshes/link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://DOBO1/meshes/link_2.STL,,part_3-1,Origin_joint_2,axis2 <Link (2)-2>,joint_2,revolute,0,0,0.15026,-1.5708,0,0,link_1,0,0,-1,0,0,0,0,,,,,,,,
link_3,-5.74823052549664E-05,0.032295078543913,0.101938503893076,0,0,0,0.431298207971406,0.0019460680618742,-5.39891720075124E-08,-1.42537812146825E-07,0.00192478401554838,-0.0003585314996633,0.000918677135479815,0,0,0,0,0,0,package://DOBO1/meshes/link_3.STL,1,1,1,1,0,0,0,0,0,0,package://DOBO1/meshes/link_3.STL,,Link (4)-1,Origin_joint_3,axis3 <part_3-1>,joint_3,revolute,0,-0.169,-0.0003799,1.5708,0,0,link_2,0,0,-1,0,0,0,0,,,,,,,,
link_4,2.63587594475501E-06,0.0851283070512941,0.0146558428383537,0,0,0,0.411501615142468,0.00139901025826992,-7.72304456074685E-09,-8.06147903058891E-07,0.000745229813228015,7.78131667071816E-05,0.00144691851979396,0,0,0,0,0,0,package://DOBO1/meshes/link_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://DOBO1/meshes/link_4.STL,,part_5-1,Origin_joint_4,axis4 <Link (4)-1>,joint_4,revolute,-2.1962E-05,0,0.1506,1.5708,0,0,link_3,0,0,-1,0,0,0,0,,,,,,,,
link_5,-0.0284745221780511,-3.5692277755967E-06,0.0627206562787774,0,0,0,0.269875099254925,0.000910804971315208,4.52914320041916E-09,0.000361370391985223,0.00108159869440782,-8.0913164911084E-09,0.000579363133174455,0,0,0,0,0,0,package://DOBO1/meshes/link_5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://DOBO1/meshes/link_5.STL,,part_6-1,Origin_joint_5,axis5 <part_5-1>,joint_5,revolute,2.1962E-05,0.1736,-0.00037968,-1.5708,0,0,link_4,0,0,-1,0,0,0,0,,,,,,,,
link_6,-0.000123548310712084,-0.00645743090123896,0.00854462886176797,0,0,0,0.624936971677606,0.000673807872170771,5.2801681644446E-07,-2.37591402509103E-06,0.00070383831245657,-0.000129351887015463,0.000850151881607009,0,0,0,0,0,0,package://DOBO1/meshes/link_6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://DOBO1/meshes/link_6.STL,,part_7-1,Origin_joint_6,axis6 <part_6-1>,joint_6,revolute,0,0,0.14599,1.5708,0,1.5708,link_5,0,0,-1,0,0,0,0,,,,,,,,
link_7,1.53029374257881E-05,5.98017678451503E-06,0.0192441250090317,0,0,0,0.0445878184716852,1.96200926798088E-05,5.30603091310623E-07,-4.97749833765397E-09,1.85589719026705E-05,-2.05560587716868E-09,3.39566042836995E-05,0,0,0,0,0,0,package://DOBO1/meshes/link_7.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://DOBO1/meshes/link_7.STL,,part_8-1,Origin_joint_7,axis7 <part_7-1>,joint_7,revolute,0.0013242,0.070964,-0.0012638,1.5708,0.46949,3.1229,link_6,0,0,-1,0,0,0,0,,,,,,,,
